vazao,vazao_calc,chuva_media
1.112,0.0,0.003
1.112,0.0,0.132
1.049,0.0,0.0
0.93,0.0,0.061
0.874,0.0,0.0
0.821,0.0,0.052
0.821,0.0,0.0
0.821,0.0,0.0
0.673,0.0,0.116
0.545,0.0,0.041
0.4,0.0,0.056
0.4,0.0,0.681
0.311,0.0,1.823
0.174,0.0,0.619
0.109,0.0,0.324
0.096,0.0,0.0
0.063,0.0,0.044
0.027,0.0,0.153
0.017,0.0,0.074
0.011,7.672797e-05,0.0
0.004,0.00023853825,0.0
0.0,0.0003799193,0.0
0.0,0.00050186896,0.0
0.0,0.00060619664,0.241
0.0,0.00069486425,0.59
0.0,0.00077345246,2.629
0.0,0.00083690486,0.0
0.0,0.00088670955,0.118
0.0,0.00092479447,0.528
0.0,0.0009513457,0.0
0.0,0.0009675808,0.028
0.0,0.00097459916,0.077
0.0,0.00097356754,0.251
0.0,0.00096627866,1.208
0.0,0.0009524788,0.281
0.369,0.0009327091,0.093
0.213,0.0009076461,0.0
0.174,0.0008781015,0.269
0.124,0.0008447349,0.454
0.096,0.00080790144,0.132
0.063,0.0007685312,1.127
0.073,0.0059653167,15.768
0.054,0.0,2.696
3.897,0.0,2.273
3.203,0.00028578928,6.107
2.597,0.0,4.168
2.597,0.007463009,9.468
2.829,0.0,2.916
1.624,0.0,0.409
1.708,0.0027580468,0.696
1.708,0.038423788,0.0
1.624,0.098171964,0.296
1.624,0.17280135,0.164
1.794,0.2553507,0.286
1.624,0.34032816,0.156
1.624,0.4237254,0.079
1.112,0.5037211,0.713
0.93,0.57994837,1.756
0.821,0.6498074,0.76
0.769,0.71175337,0.145
0.72,0.76534885,0.0
0.673,0.81118417,0.448
0.72,0.85333383,4.117
0.629,0.88866913,1.118
1.542,0.9172381,0.774
1.315,0.9400084,1.354
1.388,0.95908797,3.449
1.245,1.0258127,12.535
1.112,1.2853544,8.52
0.988,0.7585777,4.712
0.93,0.0,0.983
0.988,0.0,0.121
1.177,0.00037971637,0.104
1.112,0.026007824,0.685
4.201,0.070628904,0.172
2.829,0.12844937,1.395
2.597,0.19418776,1.134
1.884,0.2643213,1.589
2.171,0.3344751,0.479
1.977,0.40385357,1.83
1.794,0.4714226,2.344
1.884,0.53329855,0.1
1.624,0.5891664,0.486
1.542,0.63866466,0.515
1.542,0.68199193,0.827
1.542,0.71893686,0.549
1.542,0.74960184,0.398
1.542,0.77494544,1.156
1.464,0.7946354,0.281
1.388,0.8091859,0.341
1.315,0.819502,1.036
1.245,0.8253926,0.0
1.245,0.82741284,0.091
1.112,0.8261086,0.248
0.988,0.82237184,1.391
0.988,0.8160888,0.007
0.93,0.8076528,0.102
0.93,0.7973986,0.148
0.874,0.78559756,0.083
0.769,0.77256644,0.305
0.629,0.7585815,0.552
0.545,0.7439501,1.18
0.434,0.7288763,1.558
0.213,0.71329087,0.483
0.084,0.6973017,0.303
0.063,0.68100643,0.095
0.039,0.6645086,0.0
0.017,0.64791083,0.0
0.004,0.6313012,0.0
0.001,0.614766,0.134
0.0,0.5984277,0.983
0.0,0.582264,0.12
0.0,0.56640095,1.483
0.0,0.5509483,3.214
0.0,0.535943,4.062
8.144,1.1654692,27.88
3.335,2.193999,8.488
3.335,16.471989,28.393
18.181,13.853818,3.812
16.578,7.396386,2.21
9.151,2.1456032,1.577
5.387,0.0,0.619
4.047,0.0,2.915
3.609,0.0,4.252
3.203,0.0,2.741
2.951,0.008190293,4.712
2.597,0.0,1.807
4.685,0.0,2.943
6.566,0.0,2.659
7.905,0.0,3.262
4.201,0.0,1.196
12.022,0.3803984,8.404
6.566,0.18901822,3.691
5.028,0.6558027,4.955
3.751,1.4448684,5.467
3.897,0.85220337,3.551
10.811,19.622692,29.627
32.989,16.767645,3.411
24.601,10.022087,1.961
10.521,3.4361057,1.003
6.994,0.27611464,0.977
5.028,0.13910909,3.507
4.359,0.8714609,5.404
4.047,2.0383906,5.228
5.763,0.34150627,2.113
6.778,0.0,1.824
5.763,0.0,1.121
4.047,0.0,2.24
3.47,0.0,2.666
3.203,0.0,3.284
2.829,0.0,2.245
2.951,0.039581962,4.62
3.751,1.5280693,11.054
3.075,4.6906877,9.412
2.597,22.78803,19.354
4.52,155.49484,37.775
82.328,241.28879,18.527
329.313,189.98137,3.234
386.486,173.09886,5.745
146.361,254.07135,18.29
73.89,335.1335,18.077
129.542,260.73383,3.723
202.977,235.8681,6.848
290.113,223.39743,7.764
112.058,159.12718,1.385
58.382,117.997246,1.86
31.179,95.49118,2.907
28.871,63.299854,0.637
19.884,47.262318,1.977
14.71,50.75007,5.486
16.969,72.96836,11.215
19.02,50.665993,1.295
24.099,29.36324,0.244
23.116,16.966333,0.9
17.367,10.422007,1.7
9.684,14.332914,5.565
8.638,9.213131,2.034
21.691,14.144877,6.62
103.791,41.551037,17.01
78.052,44.012486,5.015
54.791,106.905685,21.219
38.837,160.10635,15.553
140.641,184.19774,11.111
138.76,162.4272,4.874
129.542,107.27391,0.232
58.382,71.54516,0.242
60.84,52.574448,1.423
38.837,42.40013,2.291
29.437,28.414942,1.024
22.634,19.000471,1.317
17.771,11.386668,1.149
15.072,6.307049,1.337
13.66,10.965709,6.312
13.321,7.765701,2.151
12.661,9.940297,4.201
12.022,15.437346,6.85
12.022,13.244748,2.853
65.908,7.198553,1.261
63.349,9.693802,4.702
94.289,13.789865,6.157
75.265,38.098587,17.352
105.419,28.375017,1.859
39.526,18.944492,1.39
19.884,9.730381,0.636
17.367,9.451201,3.296
12.988,8.3799305,3.002
10.521,12.320748,5.991
9.151,35.035408,16.571
40.929,51.87174,10.12
30.591,76.08274,11.56
176.674,85.79214,7.565
370.997,107.659035,10.487
315.028,197.6828,21.346
710.934,238.58328,13.45
361.856,233.11304,8.365
271.444,228.5815,7.814
309.403,194.29951,3.702
189.597,165.10043,3.349
88.207,162.44604,6.596
79.465,124.062126,1.416
172.468,87.7589,0.331
102.176,63.34332,0.657
53.619,44.11959,0.484
40.929,31.885834,0.971
34.868,23.328527,1.214
30.01,17.117714,1.383
25.626,9.897269,0.583
22.634,6.402977,1.367
20.775,10.588172,5.658
